site_id,lat,lon,AI,regime,observed_sensitivity,reconstructed_sensitivity,c_vpd,c_sm,c_ta,n_years
AT-Neu,47.116318,11.320229,1.7622854709625244,Humid regions,-0.2256570770792619,-0.1073035532932594,-0.0650846471615281,-0.0036837709399278,-0.0385351351918034,8
AU-ASM,-22.283,133.249,0.142369657754898,Drylands,-0.2858856646750475,-0.1766056322722697,-0.0769510207947912,-0.1086617866569097,0.0090071751794312,12
AU-Boy,-32.477093,116.938559,0.2576436400413513,Drylands,0.1114872414961108,0.1560008614745225,-0.065187549210346,0.1774848008205728,0.0437036098642958,6
AU-Cum,-33.615278,150.723611,0.6242175102233887,Drylands,-0.3956146612669313,-0.3292485973930498,-0.1572169675057026,-0.1743906595190385,0.0023590296316912,8
AU-Emr,-23.85872,148.4746,0.3064582347869873,Drylands,0.3637514387796607,0.1848130179825035,0.3070960552047477,-0.183065531325694,0.0607824941034498,3
AU-Lit,-13.17904,130.79455,0.886947512626648,Humid regions,-0.4081223079090309,-0.1723757797529068,-0.0638898108750273,-0.0716043118260017,-0.0368816570518777,5
AU-Lon,-23.52327,144.31042,0.180241197347641,Drylands,-0.4453829397534499,-0.2738539824877153,-0.0649718780164204,-0.2436156703851697,0.0347335659138747,4
AU-Rgf,-32.506102,116.966827,0.2720711231231689,Drylands,-0.0227766672279893,-0.0505921899793545,-0.0712582688932498,0.0165444790932505,0.0041215998206447,8
AU-Rig,-36.6499,145.5759,0.4048489928245544,Drylands,-0.6081321707393506,-0.4484246625737675,-0.1137852341418662,-0.3567374259917467,0.0220979975598454,6
AU-Sam,-27.38806,152.87778,0.7739920020103455,Humid regions,-0.4890336895509843,-0.1519487845989027,0.0648956808857194,-0.1834721526524557,-0.0333723128321664,8
AU-Wac,-37.4259,145.1878,0.7871108055114746,Humid regions,-0.2101727111602518,-0.0717435188354551,-0.0885848279534699,-0.0201169291587605,0.0369582382767753,4
AU-Whr,-36.6732,145.0294,0.389158546924591,Drylands,-0.5721831080957432,-0.2416023190587443,-0.2568585596240316,0.010790882141665,0.0044653584236222,6
AU-Wom,-37.422506,144.094046,0.7227389812469482,Humid regions,0.3727775704882271,0.0555030691987968,0.0558955270313042,-0.0169613909931479,0.0165689331606405,11
AU-Wrr,-43.09502,146.65452,1.797516107559204,Humid regions,0.412587814483046,0.05290804401885,0.0072430215686319,0.0635860249277312,-0.0179210024775131,7
AU-Ync,-34.9878,146.2908,0.2677907049655914,Drylands,-0.1746450840319716,-0.1072693402748713,-0.0153870448175616,-0.0976536740270898,0.0057713785697801,10
BE-Dor,50.311876,4.968113,1.177566647529602,Humid regions,0.0107723598956599,-0.0001968702903247,0.0201104118475652,0.0001441199519504,-0.0204514020898404,12
BE-Lcr,51.11218,3.85043,1.116007924079895,Humid regions,0.201409040319966,0.0993758141009271,-0.0013253881719863,0.0778706229736873,0.0228305792992261,4
BE-Lon,50.5516198,4.7462339,1.136434555053711,Humid regions,0.0447984991845118,-0.045307739686896,-0.013153445046855,-0.0047898810669408,-0.0273644135731001,17
BE-Vie,50.304962,5.998099,1.6054747104644775,Humid regions,0.2928658441525882,0.1012590380471096,0.0098483667430097,0.0824768089105657,0.0089338623935341,7
BJ-Bfg,9.791,1.718,0.703283429145813,Humid regions,-0.0755331565959903,0.0227528839862914,0.0009541836310137,-0.001515137446921,0.0233138378021987,5
BJ-Nhu,9.74,1.6,0.6905951499938965,Humid regions,-0.1237900502607325,-0.1221233966879025,0.0279194906963222,-0.0959921159273421,-0.0540507714568826,8
CA-ARB,52.695,-83.9452,1.3836933374404907,Humid regions,0.3898192770216479,0.0346436751442093,0.0363336988830339,-0.0122452938032366,0.010555270064412,12
CA-ARF,52.7008,-83.955,1.3701261281967163,Humid regions,-0.0832280116361563,-0.1025822546930404,-0.0188307174853257,-0.0105470979410128,-0.0732044392667018,12
CA-Ca1,49.8673,-125.3336,2.615351438522339,Humid regions,-0.2317787291398366,-0.1803309358330931,-0.0187722399695494,0.0102071426803544,-0.1717658385438982,8
CA-Cbo,44.3184,-79.9341,1.31347918510437,Humid regions,0.0511217449417977,-0.0266810473199005,-0.014151991235864,0.0016977406661148,-0.0142267967501512,16
CA-Gro,48.2167,-82.1556,1.4249821901321411,Humid regions,-0.0900688788392405,-0.1276735293808114,-0.0696071035998483,-0.0506725657578918,-0.0073938600230713,12
CA-MA2,50.171,-97.8762,0.8765207529067993,Humid regions,-0.0331799492084903,-0.1631048078342411,-0.0537901274366685,-0.1052447959244477,-0.0040698844731248,3
CA-Mer,45.4094,-75.5186,1.4608154296875,Humid regions,0.198472534629487,0.0708686823854872,0.084137272055546,-0.0059998483182086,-0.0072687413518501,18
CA-PB2,54.9389,-83.4736,1.4205223321914673,Humid regions,-0.3356097880045431,-0.1621429308641538,-0.1125319917511886,0.0494237007107633,-0.0990346398237284,5
CA-Qfo,49.6925,-74.3421,1.9958510398864744,Humid regions,-0.109403932532005,-0.1552561914347272,-0.0016758682361588,-0.0262619695399266,-0.1273183536586417,8
CA-SF1,54.485,-105.8176,0.9048725366592408,Humid regions,-0.2559724207683304,-0.1047446010041289,-0.019493233975317,-0.0258148863361017,-0.0594364806927102,4
CA-SF2,54.2539,-105.8775,0.8684145212173462,Humid regions,-0.1773739795727797,-0.1561307030087947,0.024438255298321,-0.0428339674802889,-0.1377349908268268,4
CA-SF3,54.0916,-106.0053,0.8400970101356506,Humid regions,-0.0236523826384169,-0.0276904115691811,0.0259423248212753,0.0176474568301345,-0.0712801932205909,5
CA-SJ2,53.945,-104.649,0.8754532337188721,Humid regions,0.0747625520023619,0.1311229250031036,0.0476582098110721,0.0799635076474374,0.0035012075445939,6
CA-TP4,42.7102,-80.3574,1.3142297267913818,Humid regions,0.0267936393611239,-0.0313654686740781,0.003555031378166,-0.0103608527334406,-0.0245596473188034,20
CA-TPD,42.6353,-80.5577,1.3303757905960083,Humid regions,-0.4068020272574753,-0.0607940614277748,-0.0125742647882757,-0.0050439118966055,-0.0431758847428935,11
CH-Aws,46.583111,9.790639,3.0345911979675293,Humid regions,0.3805486965078296,0.0545259892190975,-0.0118990372449636,0.0452642401325569,0.0211607863315042,12
CH-Dav,46.81533,9.85591,2.174564838409424,Humid regions,0.3458220668887223,0.0106419128163941,-0.0083243301031177,0.0235245966260849,-0.004558353706573,12
CH-Fru,47.115833,8.537778,1.8183612823486328,Humid regions,0.0855351253293259,0.0662291990784734,0.0272082332644328,-0.0281987129018969,0.0672196787159375,17
CH-Oe1,47.1712,7.436,1.4113061428070068,Humid regions,-0.2805476367380613,0.0490042720392254,-0.0142401896179836,0.0242535995369208,0.0389908621202881,9
CH-Oe2,47.286417,7.73375,1.6032023429870603,Humid regions,-0.2307383384555914,-0.021799169132937,-0.0393869533870111,0.014729609956473,0.002858174297601,19
CL-SDP,-41.879,-73.666,3.2626047134399414,Humid regions,0.2283689262580941,0.1649981030642857,-0.019273959755541,-0.0996665184709895,0.2839385812908163,7
CN-Aro,38.04734,100.46432,0.8975268602371216,Humid regions,0.3918310395867685,0.1958508219293354,0.1736647329937626,0.0755059115645272,-0.0533198226289544,6
CN-Ash,24.53806,101.02917,0.8820949792861938,Humid regions,0.0068148472355817,-0.1621677633135403,-0.2344505362198326,-0.0076025350669624,0.0798853079732547,9
CN-BeO,40.02621,116.39143,0.4706131219863891,Drylands,-0.2229520296135024,-0.077599612843475,0.0069845903369829,-0.0210417090926281,-0.0635424940878298,8
CN-Dmn,38.85551,100.37223,0.2188539505004882,Drylands,-0.1066489417468474,-0.0034432224529368,-0.0115201250137976,-0.0140589281309254,0.0221358306917862,10
